,0,Jun 2022,          11.3%        ,10.0%,Unnamed: 4
3242,97.0,May 2014,          2.0%        ,,
3243,98.0,Apr 2014,          2.1%        ,,
3244,99.0,Mar 2014,          1.4%        ,,
3245,100.0,Feb 2014,          0.9%        ,,
3246,101.0,Jan 2014,          1.2%        ,,
3247,102.0,Dec 2013,          1.2%        ,,
3248,103.0,Nov 2013,          0.7%        ,,
3249,104.0,Oct 2013,          0.3%        ,,
3250,105.0,Sep 2013,          0.3%        ,,
3251,106.0,Aug 2013,          1.4%        ,,
3252,107.0,Jul 2013,          2.1%        ,,
3253,108.0,Jun 2013,          2.5%        ,,
3254,109.0,May 2013,          1.7%        ,,
3255,110.0,Apr 2013,          0.6%        ,,
3256,111.0,Mar 2013,          1.1%        ,,
3257,112.0,Feb 2013,          1.7%        ,,
3258,113.0,Jan 2013,          1.4%        ,,
3259,114.0,Dec 2012,          1.3%        ,,
3260,115.0,Nov 2012,          1.5%        ,,
3261,116.0,Oct 2012,          2.3%        ,,
3262,117.0,Sep 2012,          2.1%        ,,
3263,118.0,Aug 2012,          2.0%        ,,
3264,119.0,Jul 2012,          0.5%        ,,
3265,120.0,Jun 2012,          0.7%        ,,
3266,121.0,May 2012,          0.7%        ,,
3267,122.0,Apr 2012,          1.9%        ,,
3268,123.0,Mar 2012,          2.8%        ,,
3269,124.0,Feb 2012,          3.3%        ,,
3270,125.0,Jan 2012,          4.1%        ,,
3271,126.0,Dec 2011,          4.8%        ,,
3272,127.0,Nov 2011,          5.7%        ,,
3273,128.0,Oct 2011,          5.9%        ,,
3274,129.0,Sep 2011,          6.9%        ,,
3275,130.0,Aug 2011,          6.5%        ,,
3276,131.0,Jul 2011,          7.2%        ,,
3277,132.0,Jun 2011,          7.0%        ,,
3278,133.0,May 2011,          7.3%        ,,
3279,134.0,Apr 2011,          6.8%        ,,
3280,135.0,Mar 2011,          5.8%        ,,
3281,136.0,Feb 2011,          5.6%        ,,
3282,137.0,Jan 2011,          3.6%        ,,
3283,138.0,Dec 2010,          4.0%        ,,
3284,139.0,Nov 2010,          3.5%        ,,
3285,140.0,Oct 2010,          4.3%        ,,
3286,141.0,Sep 2010,          4.0%        ,,
3287,142.0,Aug 2010,          3.1%        ,,
3288,143.0,Jul 2010,          4.2%        ,,
3289,144.0,Jun 2010,          2.8%        ,,
3290,145.0,May 2010,          5.3%        ,,
3291,146.0,Apr 2010,          5.5%        ,,
3292,147.0,Mar 2010,          6.0%        ,,
3293,148.0,Feb 2010,          4.4%        ,,
3294,149.0,Jan 2010,          4.6%        ,,
3295,150.0,Dec 2009,          4.4%        ,,
3296,151.0,Nov 2009,          2.4%        ,,
3297,152.0,Oct 2009,          -1.9%        ,,
3298,153.0,Sep 2009,          -4.8%        ,,
3299,154.0,Aug 2009,          -4.3%        ,,
3300,155.0,Jul 2009,          -6.8%        ,,
3301,156.0,Jun 2009,          -4.6%        ,,
3302,157.0,May 2009,          -5.0%        ,,
3303,158.0,Apr 2009,          -3.7%        ,,
3304,159.0,Mar 2009,          -3.5%        ,,
3305,160.0,Feb 2009,          -1.3%        ,,
3306,161.0,Jan 2009,          1.0%        ,,
3307,162.0,Dec 2008,          -0.9%        ,,
3308,163.0,Nov 2008,          0.4%        ,,
3309,164.0,Oct 2008,          5.2%        ,,
3310,165.0,Sep 2008,          8.7%        ,,
3311,166.0,Aug 2008,          9.6%        ,,
3312,167.0,Jul 2008,          9.8%        ,,
3313,168.0,Jun 2008,          9.2%        ,,
3314,169.0,May 2008,          7.2%        ,,
3315,170.0,Apr 2008,          6.5%        ,,
3316,171.0,Mar 2008,          6.9%        ,,
3317,172.0,Feb 2008,          6.4%        ,,
3318,173.0,Jan 2008,          7.4%        ,,
3319,174.0,Dec 2007,          6.3%        ,,
3320,175.0,Nov 2007,          7.2%        ,,
3321,176.0,Oct 2007,          6.1%        ,,
3322,177.0,Sep 2007,          4.4%        ,,
3323,178.0,Aug 2007,          2.2%        ,,
3324,179.0,Jul 2007,          4.0%        ,,
3325,180.0,Jun 2007,          3.3%        ,,
3326,181.0,May 2007,          4.1%        ,,
3327,182.0,Apr 2007,          3.2%        ,,
3328,183.0,Feb 2007,          3.2%        ,,
3329,184.0,Jan 2007,          0.2%        ,,
3330,0.0,Jun 2022,          11.3%        ,10.0%,
3331,1.0,May 2022,          10.8%        ,11.1%,
3332,2.0,Apr 2022,          11.0%        ,12.2%,
3333,3.0,Mar 2022,          11.2%        ,9.4%,
3334,4.0,Feb 2022,          10.0%        ,9.1%,
3335,5.0,Jan 2022,          9.7%        ,10.1%,
3336,6.0,Dec 2021,          9.7%        ,10.1%,
3337,7.0,Nov 2021,          9.6%        ,8.3%,
3338,8.0,Oct 2021,          8.6%        ,8.6%,
3339,9.0,Sep 2021,          8.6%        ,8.7%,
3340,10.0,Aug 2021,          8.3%        ,7.8%,
3341,11.0,Jul 2021,          7.8%        ,7.3%,
3342,12.0,Jun 2021,          7.3%        ,7.1%,
3343,13.0,May 2021,          6.6%        ,7.2%,
3344,14.0,Apr 2021,          6.2%        ,4.9%,
3345,15.0,Mar 2021,          4.2%        ,3.7%,
3346,16.0,Feb 2021,          2.8%        ,2.4%,
3347,17.0,Jan 2021,          1.7%        ,0.7%,
3348,18.0,Dec 2020,          0.8%        ,0.4%,
3349,19.0,Nov 2020,          0.8%        ,1.0%,
3350,20.0,Oct 2020,          0.5%        ,1.0%,
3351,21.0,Sep 2020,          0.4%        ,-0.1%,
3352,22.0,Aug 2020,          -0.2%        ,-0.3%,
3353,23.0,Jul 2020,          -0.4%        ,-0.3%,
3354,24.0,Jun 2020,          -0.8%        ,-1.0%,
3355,25.0,May 2020,          -0.8%        ,-0.3%,
3356,26.0,Apr 2020,          -1.2%        ,1.0%,
3357,27.0,Mar 2020,          0.7%        ,1.0%,
3358,28.0,Feb 2020,          1.3%        ,2.4%,
3359,29.0,Jan 2020,          2.1%        ,1.6%,
3360,30.0,Dec 2019,          1.3%        ,1.0%,
3361,31.0,Nov 2019,          1.1%        ,0.4%,
3362,32.0,Oct 2019,          1.1%        ,0.9%,
3363,33.0,Sep 2019,          1.4%        ,2.2%,
3364,34.0,Aug 2019,          1.8%        ,2.1%,
3365,35.0,Jul 2019,          1.7%        ,1.2%,
3366,36.0,Jun 2019,          1.7%        ,1.4%,
3367,37.0,May 2019,          1.8%        ,2.2%,
3368,38.0,Apr 2019,          2.2%        ,2.4%,
3369,39.0,Mar 2019,          2.2%        ,1.6%,
3370,40.0,Feb 2019,          1.9%        ,1.4%,
3371,41.0,Jan 2019,          2.0%        ,2.0%,
3372,42.0,Dec 2018,          2.5%        ,2.8%,
3373,43.0,Nov 2018,          2.5%        ,2.6%,
3374,44.0,Oct 2018,          2.9%        ,1.9%,
3375,45.0,Sep 2018,          2.6%        ,2.5%,
3376,46.0,Aug 2018,          2.8%        ,3.4%,
3377,47.0,Jul 2018,          3.3%        ,3.2%,
3378,48.0,Jun 2018,          3.4%        ,2.7%,
3379,49.0,May 2018,          3.1%        ,2.7%,
3380,50.0,Apr 2018,          2.6%        ,3.1%,
3381,51.0,Mar 2018,          3.0%        ,2.7%,
3382,52.0,Feb 2018,          2.8%        ,2.3%,
3383,53.0,Jan 2018,          2.7%        ,2.2%,
3384,54.0,Dec 2017,          2.6%        ,2.8%,
3385,55.0,Nov 2017,          3.1%        ,3.0%,
3386,56.0,Oct 2017,          2.8%        ,2.9%,
3387,57.0,Sep 2017,          2.6%        ,2.6%,
3388,58.0,Aug 2017,          2.4%        ,1.8%,
3389,59.0,Jul 2017,          1.9%        ,1.7%,
3390,60.0,Jun 2017,          2.0%        ,2.1%,
3391,61.0,May 2017,          2.4%        ,2.6%,
3392,62.0,Apr 2017,          2.5%        ,2.5%,
3393,63.0,Mar 2017,          2.3%        ,,
3394,64.0,Feb 2017,          2.2%        ,,
3395,65.0,Jan 2017,          1.6%        ,,
3396,66.0,Dec 2016,          1.6%        ,,
3397,67.0,Nov 2016,          1.3%        ,,
3398,68.0,Oct 2016,          0.8%        ,,
3399,69.0,Sep 2016,          0.7%        ,,
3400,70.0,Aug 2016,          0.0%        ,,
3401,71.0,Jul 2016,          -0.2%        ,,
3402,72.0,Jun 2016,          0.3%        ,,
3403,73.0,May 2016,          -0.1%        ,,
3404,74.0,Apr 2016,          0.0%        ,,
3405,75.0,Mar 2016,          -0.1%        ,,
3406,76.0,Feb 2016,          0.0%        ,,
3407,77.0,Jan 2016,          -0.2%        ,,
3408,78.0,Dec 2015,          -1.0%        ,,
3409,79.0,Nov 2015,          -1.1%        ,,
3410,80.0,Oct 2015,          -1.6%        ,,
3411,81.0,Sep 2015,          -1.1%        ,,
3412,82.0,Aug 2015,          -0.8%        ,,
3413,83.0,Jul 2015,          -0.8%        ,,
3414,84.0,Jun 2015,          -0.7%        ,,
3415,85.0,May 2015,          -1.1%        ,,
3416,86.0,Apr 2015,          -1.3%        ,,
3417,87.0,Mar 2015,          -0.8%        ,,
3418,88.0,Feb 2015,          -0.6%        ,,
3419,89.0,Jan 2015,          0.0%        ,,
3420,90.0,Dec 2014,          1.1%        ,,
3421,91.0,Nov 2014,          1.4%        ,,
3422,92.0,Oct 2014,          1.5%        ,,
3423,93.0,Sep 2014,          1.6%        ,,
3424,94.0,Aug 2014,          1.8%        ,,
3425,95.0,Jul 2014,          1.7%        ,,
3426,96.0,Jun 2014,          1.9%        ,,
3427,97.0,May 2014,          2.0%        ,,
3428,98.0,Apr 2014,          2.1%        ,,
3429,99.0,Mar 2014,          1.4%        ,,
3430,100.0,Feb 2014,          0.9%        ,,
3431,101.0,Jan 2014,          1.2%        ,,
3432,102.0,Dec 2013,          1.2%        ,,
3433,103.0,Nov 2013,          0.7%        ,,
3434,104.0,Oct 2013,          0.3%        ,,
3435,105.0,Sep 2013,          0.3%        ,,
3436,106.0,Aug 2013,          1.4%        ,,
3437,107.0,Jul 2013,          2.1%        ,,
3438,108.0,Jun 2013,          2.5%        ,,
3439,109.0,May 2013,          1.7%        ,,
3440,110.0,Apr 2013,          0.6%        ,,
3441,111.0,Mar 2013,          1.1%        ,,
3442,112.0,Feb 2013,          1.7%        ,,
3443,113.0,Jan 2013,          1.4%        ,,
3444,114.0,Dec 2012,          1.3%        ,,
3445,115.0,Nov 2012,          1.5%        ,,
3446,116.0,Oct 2012,          2.3%        ,,
3447,117.0,Sep 2012,          2.1%        ,,
3448,118.0,Aug 2012,          2.0%        ,,
3449,119.0,Jul 2012,          0.5%        ,,
3450,120.0,Jun 2012,          0.7%        ,,
3451,121.0,May 2012,          0.7%        ,,
3452,122.0,Apr 2012,          1.9%        ,,
3453,123.0,Mar 2012,          2.8%        ,,
3454,124.0,Feb 2012,          3.3%        ,,
3455,125.0,Jan 2012,          4.1%        ,,
3456,126.0,Dec 2011,          4.8%        ,,
3457,127.0,Nov 2011,          5.7%        ,,
3458,128.0,Oct 2011,          5.9%        ,,
3459,129.0,Sep 2011,          6.9%        ,,
3460,130.0,Aug 2011,          6.5%        ,,
3461,131.0,Jul 2011,          7.2%        ,,
3462,132.0,Jun 2011,          7.0%        ,,
3463,133.0,May 2011,          7.3%        ,,
3464,134.0,Apr 2011,          6.8%        ,,
3465,135.0,Mar 2011,          5.8%        ,,
3466,136.0,Feb 2011,          5.6%        ,,
3467,137.0,Jan 2011,          3.6%        ,,
3468,138.0,Dec 2010,          4.0%        ,,
3469,139.0,Nov 2010,          3.5%        ,,
3470,140.0,Oct 2010,          4.3%        ,,
3471,141.0,Sep 2010,          4.0%        ,,
3472,142.0,Aug 2010,          3.1%        ,,
3473,143.0,Jul 2010,          4.2%        ,,
3474,144.0,Jun 2010,          2.8%        ,,
3475,145.0,May 2010,          5.3%        ,,
3476,146.0,Apr 2010,          5.5%        ,,
3477,147.0,Mar 2010,          6.0%        ,,
3478,148.0,Feb 2010,          4.4%        ,,
3479,149.0,Jan 2010,          4.6%        ,,
3480,150.0,Dec 2009,          4.4%        ,,
3481,151.0,Nov 2009,          2.4%        ,,
3482,152.0,Oct 2009,          -1.9%        ,,
3483,153.0,Sep 2009,          -4.8%        ,,
3484,154.0,Aug 2009,          -4.3%        ,,
3485,155.0,Jul 2009,          -6.8%        ,,
3486,156.0,Jun 2009,          -4.6%        ,,
3487,157.0,May 2009,          -5.0%        ,,
3488,158.0,Apr 2009,          -3.7%        ,,
3489,159.0,Mar 2009,          -3.5%        ,,
3490,160.0,Feb 2009,          -1.3%        ,,
3491,161.0,Jan 2009,          1.0%        ,,
3492,162.0,Dec 2008,          -0.9%        ,,
3493,163.0,Nov 2008,          0.4%        ,,
3494,164.0,Oct 2008,          5.2%        ,,
3495,165.0,Sep 2008,          8.7%        ,,
3496,166.0,Aug 2008,          9.6%        ,,
3497,167.0,Jul 2008,          9.8%        ,,
3498,168.0,Jun 2008,          9.2%        ,,
3499,169.0,May 2008,          7.2%        ,,
3500,170.0,Apr 2008,          6.5%        ,,
3501,171.0,Mar 2008,          6.9%        ,,
3502,172.0,Feb 2008,          6.4%        ,,
3503,173.0,Jan 2008,          7.4%        ,,
3504,174.0,Dec 2007,          6.3%        ,,
3505,175.0,Nov 2007,          7.2%        ,,
3506,176.0,Oct 2007,          6.1%        ,,
3507,177.0,Sep 2007,          4.4%        ,,
3508,178.0,Aug 2007,          2.2%        ,,
3509,179.0,Jul 2007,          4.0%        ,,
3510,180.0,Jun 2007,          3.3%        ,,
3511,181.0,May 2007,          4.1%        ,,
3512,182.0,Apr 2007,          3.2%        ,,
3513,183.0,Feb 2007,          3.2%        ,,
3514,184.0,Jan 2007,          0.2%        ,,
3515,0.0,Jul 2022,          9.8%        ,11.0%,
3516,1.0,Jun 2022,          11.3%        ,10.0%,
3517,2.0,May 2022,          10.8%        ,11.1%,
3518,3.0,Apr 2022,          11.0%        ,12.2%,
3519,4.0,Mar 2022,          11.2%        ,9.4%,
3520,5.0,Feb 2022,          10.0%        ,9.1%,
3521,6.0,Jan 2022,          9.7%        ,10.1%,
3522,7.0,Dec 2021,          9.7%        ,10.1%,
3523,8.0,Nov 2021,          9.6%        ,8.3%,
3524,9.0,Oct 2021,          8.6%        ,8.6%,
3525,10.0,Sep 2021,          8.6%        ,8.7%,
3526,11.0,Aug 2021,          8.3%        ,7.8%,
3527,12.0,Jul 2021,          7.8%        ,7.3%,
3528,13.0,Jun 2021,          7.3%        ,7.1%,
3529,14.0,May 2021,          6.6%        ,7.2%,
3530,15.0,Apr 2021,          6.2%        ,4.9%,
3531,16.0,Mar 2021,          4.2%        ,3.7%,
3532,17.0,Feb 2021,          2.8%        ,2.4%,
3533,18.0,Jan 2021,          1.7%        ,0.7%,
3534,19.0,Dec 2020,          0.8%        ,0.4%,
3535,20.0,Nov 2020,          0.8%        ,1.0%,
3536,21.0,Oct 2020,          0.5%        ,1.0%,
3537,22.0,Sep 2020,          0.4%        ,-0.1%,
3538,23.0,Aug 2020,          -0.2%        ,-0.3%,
3539,24.0,Jul 2020,          -0.4%        ,-0.3%,
3540,25.0,Jun 2020,          -0.8%        ,-1.0%,
3541,26.0,May 2020,          -0.8%        ,-0.3%,
3542,27.0,Apr 2020,          -1.2%        ,1.0%,
3543,28.0,Mar 2020,          0.7%        ,1.0%,
3544,29.0,Feb 2020,          1.3%        ,2.4%,
3545,30.0,Jan 2020,          2.1%        ,1.6%,
3546,31.0,Dec 2019,          1.3%        ,1.0%,
3547,32.0,Nov 2019,          1.1%        ,0.4%,
3548,33.0,Oct 2019,          1.1%        ,0.9%,
3549,34.0,Sep 2019,          1.4%        ,2.2%,
3550,35.0,Aug 2019,          1.8%        ,2.1%,
3551,36.0,Jul 2019,          1.7%        ,1.2%,
3552,37.0,Jun 2019,          1.7%        ,1.4%,
3553,38.0,May 2019,          1.8%        ,2.2%,
3554,39.0,Apr 2019,          2.2%        ,2.4%,
3555,40.0,Mar 2019,          2.2%        ,1.6%,
3556,41.0,Feb 2019,          1.9%        ,1.4%,
3557,42.0,Jan 2019,          2.0%        ,2.0%,
3558,43.0,Dec 2018,          2.5%        ,2.8%,
3559,44.0,Nov 2018,          2.5%        ,2.6%,
3560,45.0,Oct 2018,          2.9%        ,1.9%,
3561,46.0,Sep 2018,          2.6%        ,2.5%,
3562,47.0,Aug 2018,          2.8%        ,3.4%,
3563,48.0,Jul 2018,          3.3%        ,3.2%,
3564,49.0,Jun 2018,          3.4%        ,2.7%,
3565,50.0,May 2018,          3.1%        ,2.7%,
3566,51.0,Apr 2018,          2.6%        ,3.1%,
3567,52.0,Mar 2018,          3.0%        ,2.7%,
3568,53.0,Feb 2018,          2.8%        ,2.3%,
3569,54.0,Jan 2018,          2.7%        ,2.2%,
3570,55.0,Dec 2017,          2.6%        ,2.8%,
3571,56.0,Nov 2017,          3.1%        ,3.0%,
3572,57.0,Oct 2017,          2.8%        ,2.9%,
3573,58.0,Sep 2017,          2.6%        ,2.6%,
3574,59.0,Aug 2017,          2.4%        ,1.8%,
3575,60.0,Jul 2017,          1.9%        ,1.7%,
3576,61.0,Jun 2017,          2.0%        ,2.1%,
3577,62.0,May 2017,          2.4%        ,2.6%,
3578,63.0,Apr 2017,          2.5%        ,2.5%,
3579,64.0,Mar 2017,          2.3%        ,,
3580,65.0,Feb 2017,          2.2%        ,,
3581,66.0,Jan 2017,          1.6%        ,,
3582,67.0,Dec 2016,          1.6%        ,,
3583,68.0,Nov 2016,          1.3%        ,,
3584,69.0,Oct 2016,          0.8%        ,,
3585,70.0,Sep 2016,          0.7%        ,,
3586,71.0,Aug 2016,          0.0%        ,,
3587,72.0,Jul 2016,          -0.2%        ,,
3588,73.0,Jun 2016,          0.3%        ,,
3589,74.0,May 2016,          -0.1%        ,,
3590,75.0,Apr 2016,          0.0%        ,,
3591,76.0,Mar 2016,          -0.1%        ,,
3592,77.0,Feb 2016,          0.0%        ,,
3593,78.0,Jan 2016,          -0.2%        ,,
3594,79.0,Dec 2015,          -1.0%        ,,
3595,80.0,Nov 2015,          -1.1%        ,,
3596,81.0,Oct 2015,          -1.6%        ,,
3597,82.0,Sep 2015,          -1.1%        ,,
3598,83.0,Aug 2015,          -0.8%        ,,
3599,84.0,Jul 2015,          -0.8%        ,,
3600,85.0,Jun 2015,          -0.7%        ,,
3601,86.0,May 2015,          -1.1%        ,,
3602,87.0,Apr 2015,          -1.3%        ,,
3603,88.0,Mar 2015,          -0.8%        ,,
3604,89.0,Feb 2015,          -0.6%        ,,
3605,90.0,Jan 2015,          0.0%        ,,
3606,91.0,Dec 2014,          1.1%        ,,
3607,92.0,Nov 2014,          1.4%        ,,
3608,93.0,Oct 2014,          1.5%        ,,
3609,94.0,Sep 2014,          1.6%        ,,
3610,95.0,Aug 2014,          1.8%        ,,
3611,96.0,Jul 2014,          1.7%        ,,
3612,97.0,Jun 2014,          1.9%        ,,
3613,98.0,May 2014,          2.0%        ,,
3614,99.0,Apr 2014,          2.1%        ,,
3615,100.0,Mar 2014,          1.4%        ,,
3616,101.0,Feb 2014,          0.9%        ,,
3617,102.0,Jan 2014,          1.2%        ,,
3618,103.0,Dec 2013,          1.2%        ,,
3619,104.0,Nov 2013,          0.7%        ,,
3620,105.0,Oct 2013,          0.3%        ,,
3621,106.0,Sep 2013,          0.3%        ,,
3622,107.0,Aug 2013,          1.4%        ,,
3623,108.0,Jul 2013,          2.1%        ,,
3624,109.0,Jun 2013,          2.5%        ,,
3625,110.0,May 2013,          1.7%        ,,
3626,111.0,Apr 2013,          0.6%        ,,
3627,112.0,Mar 2013,          1.1%        ,,
3628,113.0,Feb 2013,          1.7%        ,,
3629,114.0,Jan 2013,          1.4%        ,,
3630,115.0,Dec 2012,          1.3%        ,,
3631,116.0,Nov 2012,          1.5%        ,,
3632,117.0,Oct 2012,          2.3%        ,,
3633,118.0,Sep 2012,          2.1%        ,,
3634,119.0,Aug 2012,          2.0%        ,,
3635,120.0,Jul 2012,          0.5%        ,,
3636,121.0,Jun 2012,          0.7%        ,,
3637,122.0,May 2012,          0.7%        ,,
3638,123.0,Apr 2012,          1.9%        ,,
3639,124.0,Mar 2012,          2.8%        ,,
3640,125.0,Feb 2012,          3.3%        ,,
3641,126.0,Jan 2012,          4.1%        ,,
3642,127.0,Dec 2011,          4.8%        ,,
3643,128.0,Nov 2011,          5.7%        ,,
3644,129.0,Oct 2011,          5.9%        ,,
3645,130.0,Sep 2011,          6.9%        ,,
3646,131.0,Aug 2011,          6.5%        ,,
3647,132.0,Jul 2011,          7.2%        ,,
3648,133.0,Jun 2011,          7.0%        ,,
3649,134.0,May 2011,          7.3%        ,,
3650,135.0,Apr 2011,          6.8%        ,,
3651,136.0,Mar 2011,          5.8%        ,,
3652,137.0,Feb 2011,          5.6%        ,,
3653,138.0,Jan 2011,          3.6%        ,,
3654,139.0,Dec 2010,          4.0%        ,,
3655,140.0,Nov 2010,          3.5%        ,,
3656,141.0,Oct 2010,          4.3%        ,,
3657,142.0,Sep 2010,          4.0%        ,,
3658,143.0,Aug 2010,          3.1%        ,,
3659,144.0,Jul 2010,          4.2%        ,,
3660,145.0,Jun 2010,          2.8%        ,,
3661,146.0,May 2010,          5.3%        ,,
3662,147.0,Apr 2010,          5.5%        ,,
3663,148.0,Mar 2010,          6.0%        ,,
3664,149.0,Feb 2010,          4.4%        ,,
3665,150.0,Jan 2010,          4.6%        ,,
3666,151.0,Dec 2009,          4.4%        ,,
3667,152.0,Nov 2009,          2.4%        ,,
3668,153.0,Oct 2009,          -1.9%        ,,
3669,154.0,Sep 2009,          -4.8%        ,,
3670,155.0,Aug 2009,          -4.3%        ,,
3671,156.0,Jul 2009,          -6.8%        ,,
3672,157.0,Jun 2009,          -4.6%        ,,
3673,158.0,May 2009,          -5.0%        ,,
3674,159.0,Apr 2009,          -3.7%        ,,
3675,160.0,Mar 2009,          -3.5%        ,,
3676,161.0,Feb 2009,          -1.3%        ,,
3677,162.0,Jan 2009,          1.0%        ,,
3678,163.0,Dec 2008,          -0.9%        ,,
3679,164.0,Nov 2008,          0.4%        ,,
3680,165.0,Oct 2008,          5.2%        ,,
3681,166.0,Sep 2008,          8.7%        ,,
3682,167.0,Aug 2008,          9.6%        ,,
3683,168.0,Jul 2008,          9.8%        ,,
3684,169.0,Jun 2008,          9.2%        ,,
3685,170.0,May 2008,          7.2%        ,,
3686,171.0,Apr 2008,          6.5%        ,,
3687,172.0,Mar 2008,          6.9%        ,,
3688,173.0,Feb 2008,          6.4%        ,,
3689,174.0,Jan 2008,          7.4%        ,,
3690,175.0,Dec 2007,          6.3%        ,,
3691,176.0,Nov 2007,          7.2%        ,,
3692,177.0,Oct 2007,          6.1%        ,,
3693,178.0,Sep 2007,          4.4%        ,,
3694,179.0,Aug 2007,          2.2%        ,,
3695,180.0,Jul 2007,          4.0%        ,,
3696,181.0,Jun 2007,          3.3%        ,,
3697,182.0,May 2007,          4.1%        ,,
3698,183.0,Apr 2007,          3.2%        ,,
3699,184.0,Feb 2007,          3.2%        ,,
3700,185.0,Jan 2007,          0.2%        ,,
3701,0.0,Jul 2022,          9.8%        ,11.0%,
3702,1.0,Jun 2022,          11.3%        ,10.0%,
3703,2.0,May 2022,          10.8%        ,11.1%,
3704,3.0,Apr 2022,          11.0%        ,12.2%,
3705,4.0,Mar 2022,          11.2%        ,9.4%,
3706,5.0,Feb 2022,          10.0%        ,9.1%,
3707,6.0,Jan 2022,          9.7%        ,10.1%,
3708,7.0,Dec 2021,          9.7%        ,10.1%,
3709,8.0,Nov 2021,          9.6%        ,8.3%,
3710,9.0,Oct 2021,          8.6%        ,8.6%,
3711,10.0,Sep 2021,          8.6%        ,8.7%,
3712,11.0,Aug 2021,          8.3%        ,7.8%,
3713,12.0,Jul 2021,          7.8%        ,7.3%,
3714,13.0,Jun 2021,          7.3%        ,7.1%,
3715,14.0,May 2021,          6.6%        ,7.2%,
3716,15.0,Apr 2021,          6.2%        ,4.9%,
3717,16.0,Mar 2021,          4.2%        ,3.7%,
3718,17.0,Feb 2021,          2.8%        ,2.4%,
3719,18.0,Jan 2021,          1.7%        ,0.7%,
3720,19.0,Dec 2020,          0.8%        ,0.4%,
3721,20.0,Nov 2020,          0.8%        ,1.0%,
3722,21.0,Oct 2020,          0.5%        ,1.0%,
3723,22.0,Sep 2020,          0.4%        ,-0.1%,
3724,23.0,Aug 2020,          -0.2%        ,-0.3%,
3725,24.0,Jul 2020,          -0.4%        ,-0.3%,
3726,25.0,Jun 2020,          -0.8%        ,-1.0%,
3727,26.0,May 2020,          -0.8%        ,-0.3%,
3728,27.0,Apr 2020,          -1.2%        ,1.0%,
3729,28.0,Mar 2020,          0.7%        ,1.0%,
3730,29.0,Feb 2020,          1.3%        ,2.4%,
3731,30.0,Jan 2020,          2.1%        ,1.6%,
3732,31.0,Dec 2019,          1.3%        ,1.0%,
3733,32.0,Nov 2019,          1.1%        ,0.4%,
3734,33.0,Oct 2019,          1.1%        ,0.9%,
3735,34.0,Sep 2019,          1.4%        ,2.2%,
3736,35.0,Aug 2019,          1.8%        ,2.1%,
3737,36.0,Jul 2019,          1.7%        ,1.2%,
3738,37.0,Jun 2019,          1.7%        ,1.4%,
3739,38.0,May 2019,          1.8%        ,2.2%,
3740,39.0,Apr 2019,          2.2%        ,2.4%,
3741,40.0,Mar 2019,          2.2%        ,1.6%,
3742,41.0,Feb 2019,          1.9%        ,1.4%,
3743,42.0,Jan 2019,          2.0%        ,2.0%,
3744,43.0,Dec 2018,          2.5%        ,2.8%,
3745,44.0,Nov 2018,          2.5%        ,2.6%,
3746,45.0,Oct 2018,          2.9%        ,1.9%,
3747,46.0,Sep 2018,          2.6%        ,2.5%,
3748,47.0,Aug 2018,          2.8%        ,3.4%,
3749,48.0,Jul 2018,          3.3%        ,3.2%,
3750,49.0,Jun 2018,          3.4%        ,2.7%,
3751,50.0,May 2018,          3.1%        ,2.7%,
3752,51.0,Apr 2018,          2.6%        ,3.1%,
3753,52.0,Mar 2018,          3.0%        ,2.7%,
3754,53.0,Feb 2018,          2.8%        ,2.3%,
3755,54.0,Jan 2018,          2.7%        ,2.2%,
3756,55.0,Dec 2017,          2.6%        ,2.8%,
3757,56.0,Nov 2017,          3.1%        ,3.0%,
3758,57.0,Oct 2017,          2.8%        ,2.9%,
3759,58.0,Sep 2017,          2.6%        ,2.6%,
3760,59.0,Aug 2017,          2.4%        ,1.8%,
3761,60.0,Jul 2017,          1.9%        ,1.7%,
3762,61.0,Jun 2017,          2.0%        ,2.1%,
3763,62.0,May 2017,          2.4%        ,2.6%,
3764,63.0,Apr 2017,          2.5%        ,2.5%,
3765,64.0,Mar 2017,          2.3%        ,,
3766,65.0,Feb 2017,          2.2%        ,,
3767,66.0,Jan 2017,          1.6%        ,,
3768,67.0,Dec 2016,          1.6%        ,,
3769,68.0,Nov 2016,          1.3%        ,,
3770,69.0,Oct 2016,          0.8%        ,,
3771,70.0,Sep 2016,          0.7%        ,,
3772,71.0,Aug 2016,          0.0%        ,,
3773,72.0,Jul 2016,          -0.2%        ,,
3774,73.0,Jun 2016,          0.3%        ,,
3775,74.0,May 2016,          -0.1%        ,,
3776,75.0,Apr 2016,          0.0%        ,,
3777,76.0,Mar 2016,          -0.1%        ,,
3778,77.0,Feb 2016,          0.0%        ,,
3779,78.0,Jan 2016,          -0.2%        ,,
3780,79.0,Dec 2015,          -1.0%        ,,
3781,80.0,Nov 2015,          -1.1%        ,,
3782,81.0,Oct 2015,          -1.6%        ,,
3783,82.0,Sep 2015,          -1.1%        ,,
3784,83.0,Aug 2015,          -0.8%        ,,
3785,84.0,Jul 2015,          -0.8%        ,,
3786,85.0,Jun 2015,          -0.7%        ,,
3787,86.0,May 2015,          -1.1%        ,,
3788,87.0,Apr 2015,          -1.3%        ,,
3789,88.0,Mar 2015,          -0.8%        ,,
3790,89.0,Feb 2015,          -0.6%        ,,
